# file...... house_meter_cont.csv
# date...... Thu Apr 29 00:12:38 2021
# user...... midrar
# host...... (null)
# target.... triplex_meter 18
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power
2021-01-08 16:10:00 UTC,+4600
2021-01-08 16:20:00 UTC,+6400
2021-01-08 16:30:00 UTC,+5080
2021-01-08 16:40:00 UTC,+5080
2021-01-08 16:50:00 UTC,+6440
2021-01-08 17:00:00 UTC,+3560
2021-01-08 17:10:00 UTC,+3560
2021-01-08 17:20:00 UTC,+3720
2021-01-08 17:30:00 UTC,+3720
2021-01-08 17:40:00 UTC,+3720
2021-01-08 17:50:00 UTC,+5080
2021-01-08 18:00:00 UTC,+4120
2021-01-08 18:10:00 UTC,+4120
2021-01-08 18:20:00 UTC,+5640
2021-01-08 18:30:00 UTC,+4640
2021-01-08 18:40:00 UTC,+4640
2021-01-08 18:50:00 UTC,+4880
2021-01-08 19:00:00 UTC,+7480
2021-01-08 19:10:00 UTC,+7480
2021-01-08 19:20:00 UTC,+7600
2021-01-08 19:30:00 UTC,+7160
2021-01-08 19:40:00 UTC,+7160
2021-01-08 19:50:00 UTC,+6840
2021-01-08 20:00:00 UTC,+6800
2021-01-08 20:10:00 UTC,+6800
2021-01-08 20:20:00 UTC,+6760
2021-01-08 20:30:00 UTC,+6560
2021-01-08 20:40:00 UTC,+6560
2021-01-08 20:50:00 UTC,+6680
2021-01-08 21:00:00 UTC,+5160
2021-01-08 21:10:00 UTC,+5160
2021-01-08 21:20:00 UTC,+3560
2021-01-08 21:30:00 UTC,+3080
2021-01-08 21:40:00 UTC,+3080
2021-01-08 21:50:00 UTC,+3960
2021-01-08 22:00:00 UTC,+3240
2021-01-08 22:10:00 UTC,+3240
2021-01-08 22:20:00 UTC,+4200
2021-01-08 22:30:00 UTC,+2760
2021-01-08 22:40:00 UTC,+2760
2021-01-08 22:50:00 UTC,+3120
2021-01-08 23:00:00 UTC,+1720
2021-01-08 23:10:00 UTC,+1720
2021-01-08 23:20:00 UTC,+2120
2021-01-08 23:30:00 UTC,+1160
2021-01-08 23:40:00 UTC,+1160
2021-01-08 23:50:00 UTC,+1080
2021-01-09 00:00:00 UTC,+1040
2021-01-09 00:10:00 UTC,+1040
2021-01-09 00:20:00 UTC,+760
2021-01-09 00:30:00 UTC,+760
2021-01-09 00:40:00 UTC,+760
2021-01-09 00:50:00 UTC,+800
2021-01-09 01:00:00 UTC,+520
2021-01-09 01:10:00 UTC,+520
2021-01-09 01:20:00 UTC,+640
2021-01-09 01:30:00 UTC,+1280
2021-01-09 01:40:00 UTC,+1280
2021-01-09 01:50:00 UTC,+640
2021-01-09 02:00:00 UTC,+480
2021-01-09 02:10:00 UTC,+480
2021-01-09 02:20:00 UTC,+6360
2021-01-09 02:30:00 UTC,+600
2021-01-09 02:40:00 UTC,+600
2021-01-09 02:50:00 UTC,+920
2021-01-09 03:00:00 UTC,+520
2021-01-09 03:10:00 UTC,+520
2021-01-09 03:20:00 UTC,+560
2021-01-09 03:30:00 UTC,+680
2021-01-09 03:40:00 UTC,+680
2021-01-09 03:50:00 UTC,+640
2021-01-09 04:00:00 UTC,+1280
2021-01-09 04:10:00 UTC,+1280
2021-01-09 04:20:00 UTC,+1320
2021-01-09 04:30:00 UTC,+4040
2021-01-09 04:40:00 UTC,+4040
2021-01-09 04:50:00 UTC,+1120
2021-01-09 05:00:00 UTC,+2000
2021-01-09 05:10:00 UTC,+2000
2021-01-09 05:20:00 UTC,+1080
2021-01-09 05:30:00 UTC,+1040
2021-01-09 05:40:00 UTC,+1040
2021-01-09 05:50:00 UTC,+1800
2021-01-09 06:00:00 UTC,+560
2021-01-09 06:10:00 UTC,+560
2021-01-09 06:20:00 UTC,+2520
2021-01-09 06:30:00 UTC,+5840
2021-01-09 06:40:00 UTC,+5840
2021-01-09 06:50:00 UTC,+4960
2021-01-09 07:00:00 UTC,+4200
2021-01-09 07:10:00 UTC,+4200
2021-01-09 07:20:00 UTC,+5960
2021-01-09 07:30:00 UTC,+5880
2021-01-09 07:40:00 UTC,+5880
2021-01-09 07:50:00 UTC,+7960
2021-01-09 08:00:00 UTC,+14960
2021-01-09 08:10:00 UTC,+9200
2021-01-09 08:20:00 UTC,+9240
2021-01-09 08:30:00 UTC,+6200
2021-01-09 08:40:00 UTC,+6200
2021-01-09 08:50:00 UTC,+6240
2021-01-09 09:00:00 UTC,+4280
2021-01-09 09:10:00 UTC,+4280
2021-01-09 09:20:00 UTC,+2680
2021-01-09 09:30:00 UTC,+6480
2021-01-09 09:40:00 UTC,+6480
2021-01-09 09:50:00 UTC,+3720
2021-01-09 10:00:00 UTC,+2560
2021-01-09 10:10:00 UTC,+2560
2021-01-09 10:20:00 UTC,+3560
2021-01-09 10:30:00 UTC,+3560
2021-01-09 10:40:00 UTC,+3560
2021-01-09 10:50:00 UTC,+2400
2021-01-09 11:00:00 UTC,+2640
2021-01-09 11:10:00 UTC,+2640
2021-01-09 11:20:00 UTC,+2520
2021-01-09 11:30:00 UTC,+2440
2021-01-09 11:40:00 UTC,+2440
2021-01-09 11:50:00 UTC,+2480
2021-01-09 12:00:00 UTC,+2640
2021-01-09 12:10:00 UTC,+2640
2021-01-09 12:20:00 UTC,+2440
2021-01-09 12:30:00 UTC,+2400
2021-01-09 12:40:00 UTC,+2400
2021-01-09 12:50:00 UTC,+2560
2021-01-09 13:00:00 UTC,+2480
2021-01-09 13:10:00 UTC,+2480
2021-01-09 13:20:00 UTC,+2360
2021-01-09 13:30:00 UTC,+2360
2021-01-09 13:40:00 UTC,+2360
2021-01-09 13:50:00 UTC,+3200
2021-01-09 14:00:00 UTC,+3920
2021-01-09 14:10:00 UTC,+3920
2021-01-09 14:20:00 UTC,+3160
2021-01-09 14:30:00 UTC,+2400
2021-01-09 14:40:00 UTC,+2400
2021-01-09 14:50:00 UTC,+3440
2021-01-09 15:00:00 UTC,+3680
2021-01-09 15:10:00 UTC,+9440
2021-01-09 15:20:00 UTC,+8440
2021-01-09 15:30:00 UTC,+2680
2021-01-09 15:40:00 UTC,+2680
2021-01-09 15:50:00 UTC,+3720
2021-01-09 16:00:00 UTC,+3320
2021-01-09 16:10:00 UTC,+3320
2021-01-09 16:20:00 UTC,+2760
2021-01-09 16:30:00 UTC,+2880
2021-01-09 16:40:00 UTC,+2880
2021-01-09 16:50:00 UTC,+4320
2021-01-09 17:00:00 UTC,+4200
2021-01-09 17:10:00 UTC,+4200
2021-01-09 17:20:00 UTC,+4560
2021-01-09 17:30:00 UTC,+3680
2021-01-09 17:40:00 UTC,+3680
2021-01-09 17:50:00 UTC,+6600
2021-01-09 18:00:00 UTC,+6880
2021-01-09 18:10:00 UTC,+6880
2021-01-09 18:20:00 UTC,+6760
2021-01-09 18:30:00 UTC,+7320
2021-01-09 18:40:00 UTC,+13080
2021-01-09 18:50:00 UTC,+8600
2021-01-09 19:00:00 UTC,+5440
2021-01-09 19:10:00 UTC,+5440
2021-01-09 19:20:00 UTC,+4720
2021-01-09 19:30:00 UTC,+3720
2021-01-09 19:40:00 UTC,+3720
2021-01-09 19:50:00 UTC,+3400
2021-01-09 20:00:00 UTC,+4040
2021-01-09 20:10:00 UTC,+4040
2021-01-09 20:20:00 UTC,+3240
2021-01-09 20:30:00 UTC,+5960
2021-01-09 20:40:00 UTC,+5960
2021-01-09 20:50:00 UTC,+5240
2021-01-09 21:00:00 UTC,+3240
2021-01-09 21:10:00 UTC,+3240
2021-01-09 21:20:00 UTC,+3200
2021-01-09 21:30:00 UTC,+3400
2021-01-09 21:40:00 UTC,+3400
2021-01-09 21:50:00 UTC,+3320
2021-01-09 22:00:00 UTC,+3240
2021-01-09 22:10:00 UTC,+3240
2021-01-09 22:20:00 UTC,+3840
2021-01-09 22:30:00 UTC,+4720
2021-01-09 22:40:00 UTC,+4720
2021-01-09 22:50:00 UTC,+3240
2021-01-09 23:00:00 UTC,+1760
2021-01-09 23:10:00 UTC,+1760
2021-01-09 23:20:00 UTC,+2200
2021-01-09 23:30:00 UTC,+1120
2021-01-09 23:40:00 UTC,+1120
2021-01-09 23:50:00 UTC,+920
2021-01-10 00:00:00 UTC,+920
2021-01-10 00:10:00 UTC,+920
2021-01-10 00:20:00 UTC,+1200
2021-01-10 00:30:00 UTC,+960
2021-01-10 00:40:00 UTC,+960
2021-01-10 00:50:00 UTC,+680
2021-01-10 01:00:00 UTC,+720
2021-01-10 01:10:00 UTC,+720
2021-01-10 01:20:00 UTC,+840
2021-01-10 01:30:00 UTC,+1560
2021-01-10 01:40:00 UTC,+1560
2021-01-10 01:50:00 UTC,+680
2021-01-10 02:00:00 UTC,+720
2021-01-10 02:10:00 UTC,+720
2021-01-10 02:20:00 UTC,+840
2021-01-10 02:30:00 UTC,+600
2021-01-10 02:40:00 UTC,+600
2021-01-10 02:50:00 UTC,+600
2021-01-10 03:00:00 UTC,+720
2021-01-10 03:10:00 UTC,+720
2021-01-10 03:20:00 UTC,+720
2021-01-10 03:30:00 UTC,+640
2021-01-10 03:40:00 UTC,+640
2021-01-10 03:50:00 UTC,+600
2021-01-10 04:00:00 UTC,+1520
2021-01-10 04:10:00 UTC,+1520
2021-01-10 04:20:00 UTC,+2880
2021-01-10 04:30:00 UTC,+3600
2021-01-10 04:40:00 UTC,+3600
2021-01-10 04:50:00 UTC,+1120
2021-01-10 05:00:00 UTC,+1040
2021-01-10 05:10:00 UTC,+1040
2021-01-10 05:20:00 UTC,+1880
2021-01-10 05:30:00 UTC,+760
2021-01-10 05:40:00 UTC,+760
2021-01-10 05:50:00 UTC,+920
2021-01-10 06:00:00 UTC,+2880
2021-01-10 06:10:00 UTC,+2880
2021-01-10 06:20:00 UTC,+7440
2021-01-10 06:30:00 UTC,+7160
2021-01-10 06:40:00 UTC,+7160
2021-01-10 06:50:00 UTC,+6920
2021-01-10 07:00:00 UTC,+6000
2021-01-10 07:10:00 UTC,+6000
2021-01-10 07:20:00 UTC,+9240
2021-01-10 07:30:00 UTC,+8160
2021-01-10 07:40:00 UTC,+8160
2021-01-10 07:50:00 UTC,+5240
2021-01-10 08:00:00 UTC,+6440
2021-01-10 08:10:00 UTC,+6440
2021-01-10 08:20:00 UTC,+5640
2021-01-10 08:30:00 UTC,+6960
2021-01-10 08:40:00 UTC,+6960
2021-01-10 08:50:00 UTC,+6000
2021-01-10 09:00:00 UTC,+5680
2021-01-10 09:10:00 UTC,+5680
2021-01-10 09:20:00 UTC,+4360
2021-01-10 09:30:00 UTC,+2880
2021-01-10 09:40:00 UTC,+2880
2021-01-10 09:50:00 UTC,+5320
2021-01-10 10:00:00 UTC,+5000
2021-01-10 10:10:00 UTC,+5000
2021-01-10 10:20:00 UTC,+2920
2021-01-10 10:30:00 UTC,+2960
2021-01-10 10:40:00 UTC,+2960
2021-01-10 10:50:00 UTC,+2880
2021-01-10 11:00:00 UTC,+4120
2021-01-10 11:10:00 UTC,+4120
2021-01-10 11:20:00 UTC,+3200
2021-01-10 11:30:00 UTC,+8280
2021-01-10 11:40:00 UTC,+2520
2021-01-10 11:50:00 UTC,+2520
2021-01-10 12:00:00 UTC,+2760
2021-01-10 12:10:00 UTC,+2760
2021-01-10 12:20:00 UTC,+3720
2021-01-10 12:30:00 UTC,+8520
2021-01-10 12:40:00 UTC,+2760
2021-01-10 12:50:00 UTC,+2520
2021-01-10 13:00:00 UTC,+2800
2021-01-10 13:10:00 UTC,+2800
2021-01-10 13:20:00 UTC,+2640
