timestamp,idk,cumsum,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,idk7
Fri Aug 13 01:48:16 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:49:17 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:50:17 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:51:18 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:52:18 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:53:19 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:54:20 2021,0,1443,0,6,3630,0,7,300,0,10.3226,0
Fri Aug 13 01:55:20 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:56:21 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:57:21 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:58:22 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 01:59:23 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:00:23 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:01:24 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:02:24 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:03:25 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:04:25 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:05:26 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:06:27 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:07:27 2021,0,1443,0,6,3630,0,7,370,0,10.3226,0
Fri Aug 13 02:08:28 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:09:28 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:10:29 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:11:30 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:12:30 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:13:31 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:14:31 2021,0,1443,0,6,3630,0,7,300,0,0,0
Fri Aug 13 02:15:32 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:16:33 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:17:33 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:18:34 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:19:34 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:20:35 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:21:35 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:22:36 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:23:36 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:24:37 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:25:38 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:26:38 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:27:39 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:28:39 2021,0,1443,0,6,3630,0,7,375,0,10.3226,0
Fri Aug 13 02:29:40 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:30:40 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:31:41 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:32:42 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:33:42 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:34:43 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:35:43 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:36:44 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:37:45 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:38:45 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:39:46 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:40:46 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:41:47 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:42:47 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:43:48 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:44:49 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:45:49 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:46:50 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:47:50 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:48:51 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:49:51 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:50:52 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:51:53 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:52:53 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:53:54 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:54:54 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:55:55 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:56:56 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:57:56 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:58:57 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 02:59:57 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:00:58 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:01:59 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:02:59 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:04:00 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:05:00 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:06:01 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:07:01 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:08:02 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:09:03 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:10:03 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:11:04 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:12:04 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:13:05 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:14:06 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:15:06 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:16:07 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:17:07 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:18:08 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:19:08 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:20:09 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:21:10 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:22:10 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:23:11 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:24:11 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:25:12 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:26:12 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:27:13 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:28:14 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:29:14 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:30:15 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:31:15 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:32:16 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:33:16 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:34:17 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:35:18 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:36:18 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:37:19 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:38:20 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:39:20 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:40:21 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:41:21 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:42:22 2021,0,1443,0,6,3630,0,7,375,0,0,0
Fri Aug 13 03:43:22 2021,0,1443,0,6,3630,0,7,375,0,0,0
